iter,loss,xT,omega,delta,c_mean,delta_mean_proxy,c
950,8.342088135939681,1.4881837497823203,-2.169096346578794,"[0.005716172133252828, 0.01300908842056692]",0.054752994012026615,0.009362630276909874,"[0.03342837742461869, 0.07607761059943453]"
1000,8.206812895198789,1.5064124165414492,-2.169096346578794,"[0.005588559099098019, 0.0133816022689905]",0.05546908833705126,0.009485080684044259,"[0.032682091873627035, 0.0782560848004755]"
1050,7.572211810787816,1.5932002332055282,-2.169096346578794,"[0.005514149667679164, 0.013587376480933002]",0.055853201285478854,0.009550763074306082,"[0.032246942878908905, 0.0794594596920488]"
1100,8.360115717036592,1.4848020234756805,-2.169096346578794,"[0.0053594916468114795, 0.014101283617806435]",0.056903652073116956,0.009730387632308957,"[0.0313424972861609, 0.08246480686007301]"
1150,7.697199907593884,1.5775281850021707,-2.169096346578794,"[0.005255241568459542, 0.014458888171375292]",0.057644465052706845,0.009857064869917418,"[0.030732839129538607, 0.08455609097587508]"
1200,7.307285975464349,1.623277093014542,-2.169096346578794,"[0.00515627779607346, 0.01481947728112308]",0.058409462179918395,0.00998787753859827,"[0.030154095477743875, 0.08666482888209291]"
1250,7.9179473739827255,1.54346829341102,-2.169096346578794,"[0.005079184671882688, 0.015102476992211277]",0.05901153669242133,0.010090830832046982,"[0.029703252152487748, 0.08831982123235492]"
1300,7.695125825476596,1.5719350094765687,-2.169096346578794,"[0.005010324450061165, 0.015357150037928027]",0.0595548566854784,0.010183737243994595,"[0.02930055513236093, 0.08980915823859587]"
1350,7.397054660861652,1.6130677160591889,-2.169096346578794,"[0.004917826841541516, 0.015734423752146263]",0.06038754706996025,0.01032612529684389,"[0.02875962583625349, 0.09201546830366701]"
1400,7.503737244355228,1.5997214148494265,-2.169096346578794,"[0.004801218837840691, 0.016267727195987573]",0.06160597192836345,0.010534473016914132,"[0.02807769809377588, 0.09513424576295101]"
1450,7.63134741842354,1.5795091909114498,-2.169096346578794,"[0.004688702878653484, 0.01682423387598718]",0.06290420867162082,0.010756468377320331,"[0.02741970077278502, 0.09838871657045661]"
1500,8.399104579874948,1.4829388094753269,-2.169096346578794,"[0.004591823104755691, 0.017338780044053707]",0.06412547261682561,0.0109653015744047,"[0.02685314441808263, 0.10139780081556858]"
1550,7.467126495579621,1.6059498057438848,-2.169096346578794,"[0.004500731599263131, 0.017842994910001606]",0.06533345265086712,0.011171863254632368,"[0.026320438062361107, 0.10434646723937313]"
1600,7.778353292201822,1.5634486533429335,-2.169096346578794,"[0.004400064285458515, 0.018450725916730738]",0.06681611588338213,0.011425395101094627,"[0.02573173203991523, 0.10790049972684902]"
1650,7.1047227381368465,1.64993502916437,-2.169096346578794,"[0.004327252426315494, 0.018892068475914545]",0.06789370618737739,0.01160966045111502,"[0.025305925704542334, 0.11048148667021244]"
1700,8.019931685937127,1.5318249103472057,-2.169096346578794,"[0.004259594305187089, 0.0193152734645022]",0.06893333153459426,0.011787433884844645,"[0.02491025861191511, 0.11295640445727341]"
1750,8.332751530835413,1.4914626417917862,-2.169096346578794,"[0.004187106594499413, 0.01979994854387138]",0.07013857471208626,0.011993527569185397,"[0.024486347908208694, 0.11579080151596383]"
1800,7.931995800981578,1.5458262610737032,-2.169096346578794,"[0.004111729165459813, 0.020332574417079797]",0.07147557727360612,0.012222151791269805,"[0.024045538029063354, 0.11890561651814889]"
1850,8.099001576248991,1.517509004038742,-2.169096346578794,"[0.004043115778955477, 0.020833210304495257]",0.07273881872957733,0.012438163041725367,"[0.023644284510628288, 0.12183335294852637]"
1900,7.465777883830535,1.6002407799105456,-2.169096346578794,"[0.003950797209615613, 0.021576603958628836]",0.0746425738264226,0.012763700584122224,"[0.02310440224199589, 0.1261807454108493]"
1950,7.936217382931634,1.5422579197831712,-2.169096346578794,"[0.003879452736770296, 0.02216854786611043]",0.07616481580780265,0.013024000301440363,"[0.022687177233749585, 0.12964245438185573]"
2000,7.692240198846847,1.5757420603962065,-2.169096346578794,"[0.0038029887974200954, 0.022854585813430386]",0.07794722101985974,0.01332878730542524,"[0.022240013403762346, 0.1336544286359571]"
2050,7.526373301755781,1.5940300426178862,-2.169096346578794,"[0.00375702180687712, 0.02324617256495685]",0.07895781933165236,0.013501597185916986,"[0.0219711968123225, 0.1359444418509822]"
2100,8.401302633311102,1.4754935814092545,-2.169096346578794,"[0.0037064532083173622, 0.02370402567600033]",0.08014872647065413,0.013705239442158845,"[0.021675469853951905, 0.13862198308735635]"
2150,7.604196774584509,1.583681946657538,-2.169096346578794,"[0.003636403980692493, 0.024411230562650935]",0.08201178091964809,0.014023817271671714,"[0.02126581948570545, 0.14275774235359073]"
2200,7.189480851462954,1.6370974863623562,-2.169096346578794,"[0.0035757756115070176, 0.025038233570769723]",0.08366787041036301,0.01430700459113837,"[0.020911262631830952, 0.14642447818889506]"
2250,8.00915934147973,1.5327909714102683,-2.169096346578794,"[0.003524487682999014, 0.025572122924328037]",0.08507900553769691,0.014548305303663526,"[0.02061132900640376, 0.14954668206899008]"
2300,8.460279735462095,1.4695678422454481,-2.169096346578794,"[0.003450575764803796, 0.026438619532518203]",0.08739653723027808,0.014944597648661,"[0.020179089486667447, 0.15461398497388873]"
2350,8.289827003696152,1.4972068352532226,-2.169096346578794,"[0.0033936376479307123, 0.027126188604980492]",0.08924051333068705,0.015259913126455603,"[0.01984611335923278, 0.15863491330214133]"
2400,8.272465901145761,1.500646827372635,-2.169096346578794,"[0.0033588910886084983, 0.027514783812048207]",0.09027517305333753,0.015436837450328353,"[0.01964291424763274, 0.16090743185904233]"
2450,8.158884943503864,1.5137989139744723,-2.169096346578794,"[0.0033108834068363443, 0.028119469599132144]",0.09190290970774392,0.015715176502984245,"[0.019362163621488227, 0.1644436557939996]"
2500,8.053478010590634,1.5280298658873386,-2.169096346578794,"[0.0032526730549155493, 0.02891611468515664]",0.09406210596877564,0.016084393870036094,"[0.019021747418360192, 0.1691024645191911]"
2550,8.317557419705702,1.4877004193426238,-2.169096346578794,"[0.003192621090183906, 0.02978907599178658]",0.09643906730404522,0.016490848540985245,"[0.018670561398180477, 0.17420757320990995]"
2600,7.720505674275734,1.572610346351468,-2.169096346578794,"[0.003156412268895152, 0.030278055253714152]",0.09776297610381156,0.016717233761304653,"[0.018458810926724283, 0.17706714128089884]"
2650,8.346597446990234,1.48811945600856,-2.169096346578794,"[0.003094602522693942, 0.03125104379715624]",0.10042727906962737,0.01717282315992509,"[0.018097345338150737, 0.182757212801104]"
2700,8.395511187393076,1.4839700420174289,-2.169096346578794,"[0.0030454087353235745, 0.032040921072954476]",0.10259305072819183,0.017543164904139024,"[0.017809658324389084, 0.18737644313199459]"
2750,8.102977120898041,1.5199463463385965,-2.169096346578794,"[0.0029991627373659306, 0.032805326963035626]",0.10469296299163401,0.01790224485020078,"[0.01753921008769007, 0.19184671589557795]"
2800,8.013444757314746,1.5301493521039367,-2.169096346578794,"[0.002911180249854101, 0.034512137142144426]",0.10942644387697373,0.018711658695999264,"[0.017024685379416708, 0.20182820237453075]"
2850,8.106227342581386,1.5201533638334817,-2.169096346578794,"[0.002840442879545795, 0.03598604905558064]",0.11352935113088847,0.01941324596756322,"[0.01661101072834467, 0.21044769153343226]"
2900,7.668106342289031,1.5764117008347276,-2.169096346578794,"[0.002774660127104959, 0.03744588640042302]",0.11760559148710768,0.020110273263763988,"[0.016226310858333728, 0.21898487211588163]"
